NodeID,ZoneName,Elevation_m,Slope_deg,Rainfall_mm_hr,Soil_Stability,Vibration_Level,Risk_Level
N361,Western Ghats Cliff Route - Zone 361,403,42,29,0.8,Medium,Low
N362,Manali Mountain Road - Zone 362,627,46,41,0.7,Low,Low
N363,Darjeeling Hill Road - Zone 363,1320,70,34,0.55,Medium,Medium
N364,Gangtok Ridge Road - Zone 364,347,16,30,0.55,Low,Low
N365,Shimla Ridge Highway - Zone 365,1494,50,8,0.24,Medium,Medium
N366,Mussoorie Hill Road - Zone 366,1639,65,23,0.58,Low,Medium
N367,Munnar Tea Valley Road - Zone 367,574,38,51,0.46,Medium,Medium
N368,Kodaikanal Ghat Road - Zone 368,392,56,8,0.6,Low,Low
N369,Kodaikanal Ghat Road - Zone 369,1433,41,9,0.47,Medium,Low
N370,Spiti Valley Cliff Road - Zone 370,872,20,13,0.88,Medium,Low
N371,Kodaikanal Ghat Road - Zone 371,994,51,53,0.3,High,Medium
N372,Coorg Forest Hill Road - Zone 372,1122,69,7,0.23,Low,Medium
N373,Nainital Lake Hill Road - Zone 373,1270,71,34,0.3,High,Medium
N374,Sikkim Valley Road - Zone 374,971,45,15,0.48,High,Low
N375,Uttarakhand Valley Road - Zone 375,1515,48,37,0.78,High,Low
N376,Gangtok Ridge Road - Zone 376,1751,43,35,0.77,Medium,Low
N377,Nainital Lake Hill Road - Zone 377,1679,19,31,0.61,High,Low
N378,Aravalli Hills Road - Zone 378,1522,65,21,0.88,High,Low
N379,Kinnaur Mountain Highway - Zone 379,766,11,42,0.54,High,Low
N380,Mussoorie Hill Road - Zone 380,1078,23,57,0.68,Low,Low
N381,Kinnaur Mountain Highway - Zone 381,1734,19,17,0.21,Medium,Low
N382,Munnar Tea Valley Road - Zone 382,610,57,49,0.34,High,Medium
N383,Mussoorie Hill Road - Zone 383,1265,12,50,0.3,Low,Low
N384,Spiti Valley Cliff Road - Zone 384,965,66,38,0.46,Low,Medium
N385,Tawang Mountain Route - Zone 385,1391,48,39,0.45,High,Medium
N386,Leh-Ladakh Cliff Route - Zone 386,1549,66,17,0.87,Medium,Low
N387,Spiti Valley Cliff Road - Zone 387,911,33,24,0.74,High,Low
N388,Shimla Ridge Highway - Zone 388,1713,67,25,0.54,High,Medium
N389,Leh-Ladakh Cliff Route - Zone 389,889,20,41,0.67,Medium,Low
N390,Ooty Hill Pass - Zone 390,1006,23,23,0.23,High,Low
N391,Nilgiri Mountain Pass - Zone 391,1009,61,46,0.38,Medium,Medium
N392,Shimla Ridge Highway - Zone 392,713,73,22,0.85,High,Medium
N393,Leh-Ladakh Cliff Route - Zone 393,581,18,44,0.72,Low,Low
N394,Manali Mountain Road - Zone 394,403,72,19,0.65,Low,Medium
N395,Western Ghats Cliff Route - Zone 395,1146,47,50,0.53,High,Medium
N396,Sikkim Valley Road - Zone 396,310,75,15,0.48,Medium,Medium
N397,Gangtok Ridge Road - Zone 397,1632,30,53,0.87,Medium,Low
N398,Uttarakhand Valley Road - Zone 398,1622,12,54,0.26,High,Medium
N399,Manali Mountain Road - Zone 399,1395,9,16,0.49,Low,Low
N400,Himalayan Ridge Road - Zone 400,1113,68,16,0.86,Medium,Low
N401,Himalayan Ridge Road - Zone 401,318,43,41,0.62,Medium,Low
N402,Uttarakhand Valley Road - Zone 402,1230,74,38,0.55,Low,Medium
N403,Coorg Forest Hill Road - Zone 403,1258,39,17,0.77,Medium,Low
N404,Darjeeling Hill Road - Zone 404,1797,63,46,0.38,Low,Medium
N405,Aravalli Hills Road - Zone 405,990,42,41,0.67,Low,Low
N406,Darjeeling Hill Road - Zone 406,1551,56,57,0.5,Medium,Medium
N407,Nilgiri Mountain Pass - Zone 407,1120,17,16,0.89,Medium,Low
N408,Nainital Lake Hill Road - Zone 408,808,5,21,0.47,Medium,Low
N409,Leh-Ladakh Cliff Route - Zone 409,975,43,42,0.71,Low,Low
N410,Leh-Ladakh Cliff Route - Zone 410,1638,51,49,0.37,High,Medium
N411,Western Ghats Cliff Route - Zone 411,1253,44,15,0.48,High,Low
N412,Uttarakhand Valley Road - Zone 412,1713,20,45,0.84,Medium,Low
N413,Kodaikanal Ghat Road - Zone 413,1558,33,19,0.87,Medium,Low
N414,Sikkim Valley Road - Zone 414,1231,52,31,0.69,Medium,Low
N415,Spiti Valley Cliff Road - Zone 415,1660,32,53,0.37,High,Medium
N416,Nilgiri Mountain Pass - Zone 416,1376,62,38,0.69,Low,Medium
N417,Kinnaur Mountain Highway - Zone 417,529,12,58,0.58,High,Low
N418,Shimla Ridge Highway - Zone 418,1472,73,14,0.32,High,Medium
N419,Tawang Mountain Route - Zone 419,538,31,50,0.61,Low,Low
N420,Coorg Forest Hill Road - Zone 420,1212,12,34,0.29,Medium,Low
N421,Tawang Mountain Route - Zone 421,1454,12,40,0.52,Medium,Low
N422,Aravalli Hills Road - Zone 422,1110,37,57,0.2,Low,Medium
N423,Kinnaur Mountain Highway - Zone 423,449,10,32,0.44,Low,Low
N424,Spiti Valley Cliff Road - Zone 424,423,13,35,0.22,Medium,Low
N425,Darjeeling Hill Road - Zone 425,577,58,28,0.89,Medium,Low
N426,Tawang Mountain Route - Zone 426,1073,53,10,0.68,High,Low
N427,Spiti Valley Cliff Road - Zone 427,572,49,12,0.32,High,Low
N428,Ooty Hill Pass - Zone 428,1383,21,51,0.89,Low,Low
N429,Aravalli Hills Road - Zone 429,911,64,48,0.7,Medium,Medium
N430,Spiti Valley Cliff Road - Zone 430,1076,34,20,0.52,Low,Low
N431,Leh-Ladakh Cliff Route - Zone 431,686,19,7,0.77,Medium,Low
N432,Mussoorie Hill Road - Zone 432,332,35,18,0.25,High,Low
N433,Himalayan Ridge Road - Zone 433,1214,11,20,0.72,Medium,Low
N434,Tawang Mountain Route - Zone 434,779,74,18,0.73,Low,Medium
N435,Sikkim Valley Road - Zone 435,1331,42,19,0.77,High,Low
N436,Kinnaur Mountain Highway - Zone 436,953,46,20,0.41,Low,Low
N437,Coorg Forest Hill Road - Zone 437,752,57,24,0.39,High,Medium
N438,Kinnaur Mountain Highway - Zone 438,658,59,40,0.55,Medium,Medium
N439,Ooty Hill Pass - Zone 439,1374,45,49,0.49,Low,Medium
N440,Uttarakhand Valley Road - Zone 440,1070,28,53,0.58,Low,Low
N441,Manali Mountain Road - Zone 441,915,23,56,0.52,Low,Low
N442,Spiti Valley Cliff Road - Zone 442,1145,58,40,0.57,Medium,Medium
N443,Manali Mountain Road - Zone 443,822,31,26,0.65,Medium,Low
N444,Kodaikanal Ghat Road - Zone 444,489,73,51,0.78,Low,Medium
N445,Leh-Ladakh Cliff Route - Zone 445,1072,10,60,0.25,High,Medium
N446,Spiti Valley Cliff Road - Zone 446,744,66,18,0.81,Medium,Low
N447,Uttarakhand Valley Road - Zone 447,331,32,17,0.87,Low,Low
N448,Gangtok Ridge Road - Zone 448,796,31,30,0.84,High,Low
N449,Nainital Lake Hill Road - Zone 449,879,53,34,0.57,Medium,Medium
N450,Uttarakhand Valley Road - Zone 450,835,51,37,0.82,Medium,Low
N451,Western Ghats Cliff Route - Zone 451,1779,65,53,0.79,Low,Medium
N452,Kodaikanal Ghat Road - Zone 452,940,57,7,0.59,Low,Low
N453,Sikkim Valley Road - Zone 453,333,38,40,0.85,High,Low
N454,Munnar Tea Valley Road - Zone 454,904,24,17,0.43,Medium,Low
N455,Kinnaur Mountain Highway - Zone 455,803,68,40,0.66,High,Medium
N456,Nainital Lake Hill Road - Zone 456,827,67,51,0.65,Medium,Medium
N457,Tawang Mountain Route - Zone 457,644,50,15,0.3,High,Medium
N458,Gangtok Ridge Road - Zone 458,676,74,46,0.87,High,Medium
N459,Himalayan Ridge Road - Zone 459,452,11,53,0.2,Low,Medium
N460,Manali Mountain Road - Zone 460,439,24,5,0.35,Medium,Low
N461,Kodaikanal Ghat Road - Zone 461,423,66,47,0.54,Low,Medium
N462,Spiti Valley Cliff Road - Zone 462,1429,57,5,0.21,High,Medium
N463,Leh-Ladakh Cliff Route - Zone 463,1397,41,6,0.55,High,Low
N464,Munnar Tea Valley Road - Zone 464,667,18,11,0.57,Low,Low
N465,Shimla Ridge Highway - Zone 465,1569,72,21,0.77,Medium,Medium
N466,Ooty Hill Pass - Zone 466,461,52,30,0.52,Low,Medium
N467,Manali Mountain Road - Zone 467,914,15,46,0.89,High,Low
N468,Himalayan Ridge Road - Zone 468,491,56,29,0.46,Medium,Medium
N469,Himalayan Ridge Road - Zone 469,1604,6,49,0.32,Medium,Low
N470,Munnar Tea Valley Road - Zone 470,1620,47,41,0.88,Low,Low
N471,Coorg Forest Hill Road - Zone 471,387,34,18,0.83,High,Low
N472,Kinnaur Mountain Highway - Zone 472,1273,39,7,0.85,High,Low
N473,Leh-Ladakh Cliff Route - Zone 473,1412,9,16,0.85,Medium,Low
N474,Aravalli Hills Road - Zone 474,724,23,53,0.77,Medium,Low
N475,Nilgiri Mountain Pass - Zone 475,912,25,41,0.37,Medium,Low
N476,Spiti Valley Cliff Road - Zone 476,979,54,53,0.72,High,Medium
N477,Nilgiri Mountain Pass - Zone 477,1325,49,8,0.27,Low,Low
N478,Nilgiri Mountain Pass - Zone 478,997,55,54,0.43,High,Medium
N479,Leh-Ladakh Cliff Route - Zone 479,1222,67,19,0.45,Medium,Medium
N480,Munnar Tea Valley Road - Zone 480,680,53,10,0.74,Medium,Low
N481,Manali Mountain Road - Zone 481,1760,14,10,0.39,Medium,Low
N482,Sikkim Valley Road - Zone 482,1097,45,28,0.27,Low,Medium
N483,Uttarakhand Valley Road - Zone 483,1210,51,53,0.39,Low,Medium
N484,Nilgiri Mountain Pass - Zone 484,683,60,33,0.59,High,Medium
N485,Munnar Tea Valley Road - Zone 485,511,8,10,0.45,Low,Low
N486,Mussoorie Hill Road - Zone 486,1524,46,60,0.47,Medium,Medium
N487,Munnar Tea Valley Road - Zone 487,1094,15,51,0.83,Low,Low
N488,Kinnaur Mountain Highway - Zone 488,1367,26,48,0.47,Low,Low
N489,Leh-Ladakh Cliff Route - Zone 489,916,39,36,0.3,Low,Medium
N490,Munnar Tea Valley Road - Zone 490,865,58,24,0.54,Low,Medium
N491,Kodaikanal Ghat Road - Zone 491,815,36,51,0.64,High,Medium
N492,Mussoorie Hill Road - Zone 492,700,63,11,0.29,Low,Medium
N493,Ooty Hill Pass - Zone 493,980,53,56,0.8,Medium,Medium
N494,Nainital Lake Hill Road - Zone 494,1181,22,24,0.42,High,Low
N495,Shimla Ridge Highway - Zone 495,1281,45,16,0.88,Medium,Low
N496,Uttarakhand Valley Road - Zone 496,1723,67,41,0.75,Medium,Medium
N497,Ooty Hill Pass - Zone 497,874,55,28,0.28,High,Medium
N498,Shimla Ridge Highway - Zone 498,1512,74,16,0.68,High,Medium
N499,Aravalli Hills Road - Zone 499,1789,64,50,0.35,Medium,Medium
N500,Nilgiri Mountain Pass - Zone 500,1137,68,13,0.64,Low,Low
N501,Leh-Ladakh Cliff Route - Zone 501,1648,24,50,0.5,Medium,Low
N502,Nilgiri Mountain Pass - Zone 502,1219,66,42,0.48,High,Medium
N503,Munnar Tea Valley Road - Zone 503,1413,9,55,0.88,High,Low
N504,Spiti Valley Cliff Road - Zone 504,1516,15,11,0.74,High,Low
N505,Kodaikanal Ghat Road - Zone 505,640,10,41,0.89,High,Low
N506,Ooty Hill Pass - Zone 506,979,60,11,0.21,Medium,Medium
N507,Manali Mountain Road - Zone 507,1345,71,40,0.61,High,Medium
N508,Manali Mountain Road - Zone 508,1212,52,30,0.52,High,Medium
N509,Kinnaur Mountain Highway - Zone 509,1714,69,14,0.44,Low,Medium
N510,Gangtok Ridge Road - Zone 510,514,42,31,0.84,Low,Low
N511,Western Ghats Cliff Route - Zone 511,1795,23,27,0.42,Medium,Low
N512,Shimla Ridge Highway - Zone 512,1367,66,27,0.53,Medium,Medium
N513,Tawang Mountain Route - Zone 513,953,13,24,0.23,High,Low
N514,Western Ghats Cliff Route - Zone 514,346,48,46,0.28,Low,Medium
N515,Manali Mountain Road - Zone 515,1356,27,40,0.31,High,Medium
N516,Munnar Tea Valley Road - Zone 516,1246,34,56,0.48,Low,Medium
N517,Darjeeling Hill Road - Zone 517,1611,60,30,0.22,High,Medium
N518,Shimla Ridge Highway - Zone 518,1220,59,29,0.2,Low,Medium
N519,Shimla Ridge Highway - Zone 519,870,13,41,0.27,High,Low
N520,Darjeeling Hill Road - Zone 520,1049,46,17,0.52,Medium,Low
N521,Gangtok Ridge Road - Zone 521,1380,45,43,0.47,Medium,Medium
N522,Kinnaur Mountain Highway - Zone 522,533,49,27,0.79,High,Low
N523,Darjeeling Hill Road - Zone 523,1679,43,44,0.61,High,Medium
N524,Sikkim Valley Road - Zone 524,941,20,20,0.41,Low,Low
N525,Kodaikanal Ghat Road - Zone 525,1720,23,37,0.47,High,Low
N526,Sikkim Valley Road - Zone 526,1477,54,32,0.33,High,Medium
N527,Spiti Valley Cliff Road - Zone 527,1720,27,40,0.32,Medium,Medium
N528,Sikkim Valley Road - Zone 528,683,45,58,0.52,Low,Medium
N529,Kodaikanal Ghat Road - Zone 529,319,67,13,0.34,Medium,Medium
N530,Spiti Valley Cliff Road - Zone 530,1335,68,31,0.68,Medium,Medium
N531,Tawang Mountain Route - Zone 531,1300,26,10,0.6,Low,Low
N532,Uttarakhand Valley Road - Zone 532,366,40,19,0.58,Low,Low
N533,Tawang Mountain Route - Zone 533,1458,68,40,0.56,High,Medium
N534,Western Ghats Cliff Route - Zone 534,848,74,57,0.89,High,Medium
N535,Himalayan Ridge Road - Zone 535,1772,61,39,0.35,Medium,Medium
N536,Western Ghats Cliff Route - Zone 536,1638,36,24,0.81,Low,Low
N537,Tawang Mountain Route - Zone 537,838,49,60,0.77,Medium,Medium
N538,Western Ghats Cliff Route - Zone 538,785,31,56,0.72,High,Low
N539,Kodaikanal Ghat Road - Zone 539,1755,59,15,0.63,Low,Low
N540,Shimla Ridge Highway - Zone 540,421,49,39,0.4,High,Medium
N541,Darjeeling Hill Road - Zone 541,962,42,23,0.6,High,Low
N542,Western Ghats Cliff Route - Zone 542,577,57,8,0.89,High,Low
N543,Sikkim Valley Road - Zone 543,1736,21,20,0.3,Medium,Low
N544,Manali Mountain Road - Zone 544,1684,55,36,0.3,High,Medium
N545,Leh-Ladakh Cliff Route - Zone 545,1585,58,29,0.52,High,Medium
N546,Nilgiri Mountain Pass - Zone 546,1125,70,52,0.39,Medium,Medium
N547,Tawang Mountain Route - Zone 547,1299,46,42,0.2,High,Medium
N548,Nilgiri Mountain Pass - Zone 548,1796,63,45,0.66,Medium,Medium
N549,Nilgiri Mountain Pass - Zone 549,1394,55,18,0.88,Low,Low
N550,Gangtok Ridge Road - Zone 550,849,46,58,0.4,High,Medium
N551,Kinnaur Mountain Highway - Zone 551,567,67,55,0.44,High,Medium
N552,Himalayan Ridge Road - Zone 552,394,17,45,0.75,Medium,Low
N553,Aravalli Hills Road - Zone 553,554,25,33,0.52,Medium,Low
N554,Shimla Ridge Highway - Zone 554,1710,21,46,0.41,Medium,Low
N555,Nilgiri Mountain Pass - Zone 555,1640,51,21,0.26,High,Medium
N556,Darjeeling Hill Road - Zone 556,406,55,45,0.41,High,Medium
N557,Manali Mountain Road - Zone 557,1179,16,50,0.27,Low,Medium
N558,Gangtok Ridge Road - Zone 558,459,21,42,0.36,High,Low
N559,Tawang Mountain Route - Zone 559,319,6,49,0.44,Low,Low
N560,Munnar Tea Valley Road - Zone 560,1721,21,35,0.25,Medium,Low
N561,Nilgiri Mountain Pass - Zone 561,1796,18,11,0.42,Medium,Low
N562,Sikkim Valley Road - Zone 562,1083,22,46,0.9,Low,Low
N563,Nilgiri Mountain Pass - Zone 563,1386,6,44,0.66,Medium,Low
N564,Kodaikanal Ghat Road - Zone 564,1779,32,45,0.72,Medium,Low
N565,Mussoorie Hill Road - Zone 565,1706,61,60,0.35,Low,Medium
N566,Sikkim Valley Road - Zone 566,552,54,27,0.87,Medium,Low
N567,Sikkim Valley Road - Zone 567,807,40,46,0.26,High,Medium
N568,Mussoorie Hill Road - Zone 568,1528,41,54,0.86,Low,Low
N569,Uttarakhand Valley Road - Zone 569,720,71,43,0.56,High,Medium
N570,Ooty Hill Pass - Zone 570,905,11,55,0.83,Low,Low
N571,Gangtok Ridge Road - Zone 571,1090,19,20,0.55,High,Low
N572,Nilgiri Mountain Pass - Zone 572,1381,6,28,0.85,Low,Low
N573,Ooty Hill Pass - Zone 573,1464,58,28,0.58,Low,Medium
N574,Gangtok Ridge Road - Zone 574,449,7,42,0.25,Medium,Low
N575,Shimla Ridge Highway - Zone 575,381,12,55,0.48,Medium,Low
N576,Coorg Forest Hill Road - Zone 576,1150,59,49,0.48,High,Medium
N577,Spiti Valley Cliff Road - Zone 577,1401,24,22,0.26,Low,Low
N578,Coorg Forest Hill Road - Zone 578,716,24,39,0.43,High,Low
N579,Nilgiri Mountain Pass - Zone 579,935,60,51,0.87,Low,Medium
N580,Himalayan Ridge Road - Zone 580,800,16,32,0.28,High,Low
N581,Mussoorie Hill Road - Zone 581,412,44,47,0.72,High,Medium
N582,Darjeeling Hill Road - Zone 582,544,6,50,0.3,Low,Low
N583,Darjeeling Hill Road - Zone 583,1316,49,38,0.56,High,Medium
N584,Leh-Ladakh Cliff Route - Zone 584,641,52,13,0.72,Medium,Low
N585,Western Ghats Cliff Route - Zone 585,360,47,56,0.5,High,Medium
N586,Nilgiri Mountain Pass - Zone 586,838,14,36,0.52,Medium,Low
N587,Himalayan Ridge Road - Zone 587,1323,26,28,0.31,Low,Low
N588,Kinnaur Mountain Highway - Zone 588,1680,19,19,0.72,Low,Low
N589,Himalayan Ridge Road - Zone 589,325,36,7,0.53,Medium,Low
N590,Sikkim Valley Road - Zone 590,666,9,40,0.76,High,Low
N591,Munnar Tea Valley Road - Zone 591,759,46,20,0.49,High,Low
N592,Nainital Lake Hill Road - Zone 592,855,14,41,0.46,High,Low
N593,Himalayan Ridge Road - Zone 593,667,33,56,0.56,Low,Medium
N594,Ooty Hill Pass - Zone 594,441,64,60,0.4,Medium,Medium
N595,Nainital Lake Hill Road - Zone 595,476,75,34,0.21,Low,Medium
N596,Uttarakhand Valley Road - Zone 596,1454,43,52,0.64,Medium,Medium
N597,Kodaikanal Ghat Road - Zone 597,1511,68,54,0.74,High,Medium
N598,Spiti Valley Cliff Road - Zone 598,802,24,5,0.85,Low,Low
N599,Manali Mountain Road - Zone 599,1409,49,45,0.79,Low,Low
N600,Nainital Lake Hill Road - Zone 600,302,53,59,0.72,Medium,Medium
N601,Western Ghats Cliff Route - Zone 601,720,72,20,0.49,Low,Medium
N602,Sikkim Valley Road - Zone 602,1757,40,10,0.23,Low,Low
N603,Coorg Forest Hill Road - Zone 603,1145,52,34,0.88,Low,Low
N604,Kinnaur Mountain Highway - Zone 604,495,69,13,0.65,Medium,Medium
N605,Nilgiri Mountain Pass - Zone 605,1512,12,32,0.66,Low,Low
N606,Manali Mountain Road - Zone 606,897,38,59,0.42,Medium,Medium
N607,Nainital Lake Hill Road - Zone 607,951,62,22,0.36,Low,Medium
N608,Sikkim Valley Road - Zone 608,1497,18,14,0.27,Medium,Low
N609,Tawang Mountain Route - Zone 609,943,57,12,0.58,Low,Low
N610,Tawang Mountain Route - Zone 610,931,64,21,0.8,Low,Low
N611,Darjeeling Hill Road - Zone 611,1705,43,57,0.69,High,Medium
N612,Himalayan Ridge Road - Zone 612,740,46,14,0.26,Low,Medium
N613,Kodaikanal Ghat Road - Zone 613,1111,70,8,0.67,Medium,Low
N614,Darjeeling Hill Road - Zone 614,363,56,59,0.52,High,Medium
N615,Spiti Valley Cliff Road - Zone 615,811,17,34,0.27,Low,Low
N616,Western Ghats Cliff Route - Zone 616,324,12,58,0.75,Low,Low
N617,Sikkim Valley Road - Zone 617,705,56,28,0.68,High,Low
N618,Nilgiri Mountain Pass - Zone 618,1492,38,57,0.25,Low,Medium
N619,Shimla Ridge Highway - Zone 619,1622,61,56,0.29,Medium,Medium
N620,Western Ghats Cliff Route - Zone 620,387,64,8,0.32,High,Medium
N621,Munnar Tea Valley Road - Zone 621,1783,55,36,0.22,High,Medium
N622,Munnar Tea Valley Road - Zone 622,653,50,18,0.84,Medium,Low
N623,Leh-Ladakh Cliff Route - Zone 623,1213,24,7,0.63,High,Low
N624,Manali Mountain Road - Zone 624,1625,42,36,0.49,High,Medium
N625,Gangtok Ridge Road - Zone 625,424,16,22,0.47,Medium,Low
N626,Shimla Ridge Highway - Zone 626,1616,72,20,0.64,High,Medium
N627,Aravalli Hills Road - Zone 627,1083,50,35,0.58,Medium,Medium
N628,Kodaikanal Ghat Road - Zone 628,1458,69,25,0.47,Low,Medium
N629,Aravalli Hills Road - Zone 629,953,33,6,0.83,Medium,Low
N630,Himalayan Ridge Road - Zone 630,1266,72,27,0.74,Low,Medium
N631,Darjeeling Hill Road - Zone 631,505,36,47,0.37,High,Medium
N632,Himalayan Ridge Road - Zone 632,749,54,27,0.85,Low,Low
N633,Darjeeling Hill Road - Zone 633,784,45,56,0.72,Medium,Medium
N634,Kinnaur Mountain Highway - Zone 634,357,50,41,0.59,High,Medium
N635,Shimla Ridge Highway - Zone 635,1308,74,24,0.32,Low,Medium
N636,Nilgiri Mountain Pass - Zone 636,415,34,43,0.35,High,Medium
N637,Gangtok Ridge Road - Zone 637,301,47,44,0.34,Low,Medium
N638,Nainital Lake Hill Road - Zone 638,1768,27,56,0.79,Medium,Low
N639,Himalayan Ridge Road - Zone 639,344,23,42,0.69,Low,Low
N640,Western Ghats Cliff Route - Zone 640,1377,51,9,0.46,High,Low
N641,Ooty Hill Pass - Zone 641,1500,17,26,0.41,Low,Low
N642,Darjeeling Hill Road - Zone 642,1799,60,55,0.65,Medium,Medium
N643,Nainital Lake Hill Road - Zone 643,656,50,19,0.67,Low,Low
N644,Ooty Hill Pass - Zone 644,928,42,13,0.32,Low,Low
N645,Kinnaur Mountain Highway - Zone 645,1101,9,16,0.62,High,Low
N646,Manali Mountain Road - Zone 646,1609,18,36,0.3,High,Low
N647,Nilgiri Mountain Pass - Zone 647,787,49,25,0.32,Low,Medium
N648,Nainital Lake Hill Road - Zone 648,1214,6,21,0.35,High,Low
N649,Nilgiri Mountain Pass - Zone 649,1017,37,55,0.28,Low,Medium
N650,Himalayan Ridge Road - Zone 650,1090,61,51,0.49,Low,Medium
N651,Munnar Tea Valley Road - Zone 651,1309,53,27,0.58,Low,Medium
N652,Gangtok Ridge Road - Zone 652,1483,33,15,0.52,Low,Low
N653,Uttarakhand Valley Road - Zone 653,341,45,21,0.87,Low,Low
N654,Nainital Lake Hill Road - Zone 654,648,53,15,0.71,High,Low
N655,Nilgiri Mountain Pass - Zone 655,992,66,50,0.22,High,Medium
N656,Darjeeling Hill Road - Zone 656,1543,60,15,0.24,Medium,Medium
N657,Shimla Ridge Highway - Zone 657,689,57,49,0.59,High,Medium
N658,Spiti Valley Cliff Road - Zone 658,843,41,24,0.37,Low,Low
N659,Ooty Hill Pass - Zone 659,1470,75,58,0.54,Low,Medium
N660,Kodaikanal Ghat Road - Zone 660,307,59,10,0.41,High,Medium
N661,Mussoorie Hill Road - Zone 661,1283,30,11,0.22,Low,Low
N662,Uttarakhand Valley Road - Zone 662,467,65,59,0.28,Medium,Medium
N663,Gangtok Ridge Road - Zone 663,1301,38,10,0.65,Medium,Low
N664,Darjeeling Hill Road - Zone 664,1059,53,28,0.33,Low,Medium
N665,Leh-Ladakh Cliff Route - Zone 665,1200,64,21,0.36,Medium,Medium
N666,Kinnaur Mountain Highway - Zone 666,426,24,53,0.69,Low,Low
N667,Nilgiri Mountain Pass - Zone 667,1668,49,56,0.58,High,Medium
N668,Manali Mountain Road - Zone 668,1433,12,58,0.47,High,Low
N669,Munnar Tea Valley Road - Zone 669,1396,65,41,0.82,Medium,Medium
N670,Uttarakhand Valley Road - Zone 670,461,55,59,0.7,High,Medium
N671,Kinnaur Mountain Highway - Zone 671,1358,23,12,0.86,Medium,Low
N672,Darjeeling Hill Road - Zone 672,642,32,56,0.33,Low,Medium
N673,Munnar Tea Valley Road - Zone 673,460,60,17,0.9,High,Low
N674,Sikkim Valley Road - Zone 674,1518,38,25,0.84,Low,Low
N675,Nilgiri Mountain Pass - Zone 675,1094,55,40,0.43,Medium,Medium
N676,Coorg Forest Hill Road - Zone 676,1238,6,55,0.69,High,Low
N677,Coorg Forest Hill Road - Zone 677,1159,19,31,0.3,High,Low
N678,Kinnaur Mountain Highway - Zone 678,1493,17,11,0.59,Low,Low
N679,Uttarakhand Valley Road - Zone 679,1396,49,31,0.38,High,Medium
N680,Gangtok Ridge Road - Zone 680,1471,65,7,0.32,Medium,Medium
N681,Sikkim Valley Road - Zone 681,1566,56,7,0.48,Medium,Low
N682,Manali Mountain Road - Zone 682,400,65,22,0.83,Low,Low
N683,Nainital Lake Hill Road - Zone 683,920,44,22,0.79,High,Low
N684,Western Ghats Cliff Route - Zone 684,766,22,24,0.88,Medium,Low
N685,Nainital Lake Hill Road - Zone 685,851,58,43,0.65,Low,Medium
N686,Tawang Mountain Route - Zone 686,732,57,52,0.54,High,Medium
N687,Kodaikanal Ghat Road - Zone 687,415,70,55,0.31,Medium,Medium
N688,Coorg Forest Hill Road - Zone 688,1126,22,54,0.8,High,Low
N689,Aravalli Hills Road - Zone 689,655,29,58,0.34,Low,Medium
N690,Manali Mountain Road - Zone 690,367,63,8,0.84,High,Low
N691,Shimla Ridge Highway - Zone 691,861,52,57,0.52,Medium,Medium
N692,Western Ghats Cliff Route - Zone 692,1695,8,20,0.46,High,Low
N693,Tawang Mountain Route - Zone 693,663,65,42,0.59,Medium,Medium
N694,Darjeeling Hill Road - Zone 694,829,16,23,0.22,Low,Low
N695,Darjeeling Hill Road - Zone 695,1471,32,59,0.35,Low,Medium
N696,Shimla Ridge Highway - Zone 696,851,57,37,0.21,High,Medium
N697,Aravalli Hills Road - Zone 697,1270,21,46,0.32,Low,Low
N698,Manali Mountain Road - Zone 698,816,44,50,0.88,High,Low
N699,Leh-Ladakh Cliff Route - Zone 699,1167,53,59,0.44,Medium,Medium
N700,Shimla Ridge Highway - Zone 700,1255,43,48,0.56,High,Medium
N701,Ooty Hill Pass - Zone 701,1497,18,5,0.56,High,Low
N702,Kodaikanal Ghat Road - Zone 702,1449,41,24,0.68,Medium,Low
N703,Nilgiri Mountain Pass - Zone 703,988,40,45,0.43,Medium,Medium
N704,Leh-Ladakh Cliff Route - Zone 704,1643,43,17,0.3,Low,Low
N705,Himalayan Ridge Road - Zone 705,1528,56,47,0.42,Low,Medium
N706,Aravalli Hills Road - Zone 706,1642,68,23,0.38,Medium,Medium
N707,Ooty Hill Pass - Zone 707,1095,9,42,0.7,High,Low
N708,Shimla Ridge Highway - Zone 708,1002,33,48,0.57,Medium,Low
N709,Kodaikanal Ghat Road - Zone 709,1338,43,59,0.32,High,Medium
N710,Spiti Valley Cliff Road - Zone 710,670,42,11,0.53,High,Low
N711,Leh-Ladakh Cliff Route - Zone 711,1785,28,48,0.83,High,Low
N712,Nilgiri Mountain Pass - Zone 712,755,50,19,0.72,Medium,Low
N713,Munnar Tea Valley Road - Zone 713,978,52,21,0.61,Medium,Low
N714,Western Ghats Cliff Route - Zone 714,1263,11,60,0.64,High,Low
N715,Mussoorie Hill Road - Zone 715,445,65,17,0.55,High,Medium
N716,Ooty Hill Pass - Zone 716,1385,43,31,0.24,Low,Medium
N717,Sikkim Valley Road - Zone 717,710,48,31,0.89,Medium,Low
N718,Sikkim Valley Road - Zone 718,947,28,54,0.26,Medium,Medium
N719,Darjeeling Hill Road - Zone 719,941,12,5,0.52,Low,Low
N720,Darjeeling Hill Road - Zone 720,1480,25,36,0.75,Low,Low
N721,Sikkim Valley Road - Zone 721,1558,60,45,0.5,Medium,Medium
